strategy,variation,date,symbol,entry time,exit time,entry price,exit price,pnl
strategy_2,variation_2,1/1/2024,RELIANCE,10:06:00,11:53:00,1660.3,1672.4,0.00728784
strategy_2,variation_2,1/1/2024,RELIANCE,13:24:00,14:18:00,1889.83,1865.87,-0.012678389
strategy_2,variation_2,1/1/2024,TCS,13:49:00,14:32:00,728.88,721.19,-0.010550434
strategy_2,variation_2,1/1/2024,HDFCBANK,10:02:00,10:10:00,1300.91,1246.8,-0.041593961
strategy_2,variation_2,1/1/2024,INFY,11:44:00,11:49:00,1290.96,1257.15,-0.026189812
strategy_2,variation_2,1/1/2024,HDFCBANK,10:29:00,12:20:00,1265.12,1206.48,-0.046351334
strategy_2,variation_2,1/2/2024,HDFCBANK,12:43:00,13:19:00,514.63,505.72,-0.01731341
strategy_2,variation_2,1/2/2024,RELIANCE,10:58:00,11:51:00,608.27,584.06,-0.039801404
strategy_2,variation_2,1/2/2024,TCS,14:58:00,15:58:00,1270.92,1297.79,0.021142165
strategy_2,variation_2,1/2/2024,INFY,12:27:00,14:25:00,689.18,718.29,0.042238602
strategy_2,variation_2,1/2/2024,TCS,12:48:00,14:44:00,250.9,260.83,0.039577521
strategy_2,variation_2,1/2/2024,HDFCBANK,13:24:00,15:15:00,1357.83,1298.96,-0.043355943
strategy_2,variation_2,1/3/2024,INFY,14:04:00,15:45:00,1902.49,1833.94,-0.036031727
strategy_2,variation_2,1/3/2024,ICICIBANK,12:45:00,13:30:00,524.84,526.66,0.003467723
strategy_2,variation_2,1/3/2024,HDFCBANK,13:59:00,15:01:00,1603.7,1531.99,-0.044715346
strategy_2,variation_2,1/3/2024,INFY,10:18:00,10:41:00,1012.25,1026.19,0.013771302
strategy_2,variation_2,1/3/2024,HDFCBANK,10:12:00,11:13:00,1002.16,1012.04,0.009858705
strategy_2,variation_2,1/3/2024,ICICIBANK,14:43:00,16:15:00,438.07,433.86,-0.009610336
strategy_2,variation_2,1/3/2024,HDFCBANK,13:16:00,13:53:00,1091.73,1075.53,-0.014838834
strategy_2,variation_2,1/4/2024,HDFCBANK,10:23:00,10:52:00,1273.7,1235.47,-0.030014917
strategy_2,variation_2,1/4/2024,TCS,12:15:00,13:22:00,1317.86,1357.57,0.030132184
