strategy,variation,date,symbol,entry time,exit time,entry price,exit price,pnl
strategy_1,variation_a,1/1/2024,TCS,14:12:00,15:18:00,99.5,100.99,0.014974874
strategy_1,variation_a,1/1/2024,RELIANCE,14:01:00,15:06:00,1510.16,1502,-0.005403401
strategy_1,variation_a,1/1/2024,ICICIBANK,14:54:00,16:47:00,391.99,409.58,0.044873594
strategy_1,variation_a,1/1/2024,TCS,10:20:00,11:09:00,1217.76,1251.73,0.02789548
strategy_1,variation_a,1/1/2024,HDFCBANK,10:59:00,11:17:00,653.67,648.4,-0.008062172
strategy_1,variation_a,1/1/2024,ICICIBANK,10:27:00,11:09:00,521.51,536.91,0.029529635
strategy_1,variation_a,1/1/2024,ICICIBANK,14:42:00,15:50:00,773.14,782.58,0.012209949
strategy_1,variation_a,1/2/2024,ICICIBANK,11:01:00,12:56:00,1413.58,1398.2,-0.010880177
strategy_1,variation_a,1/2/2024,INFY,12:09:00,13:44:00,1650.53,1621.8,-0.01740653
strategy_1,variation_a,1/2/2024,RELIANCE,14:32:00,15:45:00,731.42,749.45,0.02465068
strategy_1,variation_a,1/2/2024,HDFCBANK,12:44:00,14:15:00,170.49,165.03,-0.032025339
strategy_1,variation_a,1/3/2024,INFY,12:47:00,14:03:00,1113.08,1114.77,0.00151831
strategy_1,variation_a,1/3/2024,TCS,11:53:00,13:24:00,182.27,186.35,0.022384375
strategy_1,variation_a,1/3/2024,HDFCBANK,13:32:00,14:07:00,922.19,879.75,-0.046020885
strategy_1,variation_a,1/3/2024,ICICIBANK,13:51:00,14:00:00,219.75,209.9,-0.044823663
strategy_1,variation_a,1/3/2024,RELIANCE,11:36:00,12:21:00,409.07,411.6,0.006184761
strategy_1,variation_a,1/3/2024,HDFCBANK,13:26:00,13:48:00,1330.26,1299.96,-0.022777502
strategy_1,variation_a,1/3/2024,INFY,9:54:00,10:11:00,763.85,798.32,0.045126661
strategy_1,variation_a,1/3/2024,HDFCBANK,11:13:00,12:56:00,888.73,862.84,-0.029131457
strategy_1,variation_a,1/4/2024,INFY,9:31:00,9:41:00,498.44,495.09,-0.006720969
strategy_1,variation_a,1/4/2024,HDFCBANK,11:47:00,12:47:00,1745.69,1699.97,-0.026190217
strategy_1,variation_a,1/4/2024,HDFCBANK,12:33:00,13:02:00,1799.2,1803.9,0.002612272
strategy_1,variation_a,1/4/2024,RELIANCE,14:47:00,16:25:00,446.45,429.41,-0.038167768
strategy_1,variation_a,1/4/2024,TCS,12:59:00,13:36:00,1804.02,1783.36,-0.011452201
strategy_1,variation_a,1/4/2024,TCS,13:09:00,15:01:00,1559.44,1558.68,-0.000487354
strategy_1,variation_a,1/4/2024,RELIANCE,11:11:00,11:34:00,1677.79,1634.91,-0.02555743
strategy_1,variation_a,1/4/2024,RELIANCE,13:43:00,14:11:00,1427.54,1385.29,-0.029596369
strategy_1,variation_a,1/5/2024,HDFCBANK,12:12:00,13:43:00,1160.65,1137.24,-0.020169732
strategy_1,variation_a,1/5/2024,HDFCBANK,11:28:00,12:05:00,1574.34,1577.44,0.001969079
strategy_1,variation_a,1/5/2024,TCS,13:48:00,14:45:00,1239.18,1211.78,-0.022111396
strategy_1,variation_a,1/5/2024,HDFCBANK,11:47:00,12:35:00,492.21,483.29,-0.018122346
strategy_1,variation_a,1/5/2024,HDFCBANK,14:22:00,15:38:00,1373.88,1337.6,-0.026406964
strategy_1,variation_a,1/5/2024,INFY,12:25:00,13:59:00,1163.33,1111.94,-0.044174912
strategy_1,variation_a,1/5/2024,ICICIBANK,13:55:00,15:28:00,220.93,210.51,-0.04716426
strategy_1,variation_a,1/5/2024,TCS,13:16:00,14:21:00,724.94,740,0.020774133
strategy_1,variation_a,1/6/2024,INFY,14:13:00,14:45:00,510.74,515.04,0.008419157
strategy_1,variation_a,1/6/2024,INFY,11:08:00,12:57:00,1878.5,1910.84,0.017215864
strategy_1,variation_a,1/6/2024,RELIANCE,10:51:00,12:50:00,1495.64,1478.87,-0.011212591
strategy_1,variation_a,1/6/2024,HDFCBANK,9:38:00,9:48:00,1285.91,1271.55,-0.011167189
strategy_1,variation_a,1/6/2024,ICICIBANK,13:40:00,15:15:00,1119.53,1164.84,0.040472341
strategy_1,variation_a,1/7/2024,RELIANCE,9:50:00,11:07:00,233.64,223.6,-0.042972094
strategy_1,variation_a,1/7/2024,ICICIBANK,12:23:00,12:40:00,517.5,522.9,0.010434783
